Time,Latitude (deg): ,Longitude (deg): ,Altitude(mm),Pulse,SATS
62272,39.308548,-119.918121,2788885,0,5
62485,39.308548,-119.918121,2789072,0,5
62650,39.308548,-119.918121,2789227,0,5
62865,39.308548,-119.918121,2789008,0,5
63079,39.308548,-119.918121,2788710,0,5
63244,39.308548,-119.918121,2788259,0,5
63459,39.308544,-119.918121,2787936,0,5
63679,39.308544,-119.918121,2787601,0,5
63844,39.308544,-119.918121,2787460,0,5
64059,39.308544,-119.918129,2786939,0,5
64274,39.308544,-119.918129,2786204,0,5
64439,39.308544,-119.918129,2785641,0,5
64654,39.308540,-119.918129,2785081,1,5
64869,39.308540,-119.918129,2784626,1,5
65034,39.308540,-119.918144,2784366,1,5
65249,39.308540,-119.918144,2784282,0,5
65464,39.308540,-119.918144,2784016,1,5
65679,39.308540,-119.918144,2784102,1,5
65844,39.308540,-119.918144,2784532,1,5
66059,39.308540,-119.918144,2784579,1,5
66278,39.308540,-119.918144,2784279,1,6
66492,39.308540,-119.918144,2783975,1,6
66656,39.308540,-119.918144,2783839,1,6
66871,39.308540,-119.918144,2783373,1,6
67036,39.308537,-119.918144,2783129,1,6
67251,39.308537,-119.918144,2783039,0,6
67466,39.308537,-119.918144,2782928,0,6
67679,39.308537,-119.918144,2782885,0,6
67844,39.308537,-119.918144,2782840,0,6
68059,39.308537,-119.918144,2782841,0,6
68273,39.308537,-119.918144,2782850,0,6
68438,39.308537,-119.918144,2782848,0,6
68657,39.308537,-119.918144,2782865,0,6
68873,39.308537,-119.918144,2782881,0,6
69037,39.308537,-119.918144,2782882,0,6
69252,39.308537,-119.918144,2782910,0,6
69467,39.308537,-119.918144,2782950,0,6
69680,39.308537,-119.918144,2783010,0,6
69845,39.308537,-119.918144,2783091,1,6
70060,39.308537,-119.918144,2783101,1,6
70274,39.308537,-119.918144,2783181,1,9
70490,39.308537,-119.918144,2783221,1,9
70654,39.308537,-119.918144,2783280,1,9
70869,39.308537,-119.918144,2783275,0,9
71083,39.308537,-119.918144,2783276,0,9
71252,39.308537,-119.918159,2783322,0,9
71467,39.308533,-119.918159,2783305,0,9
71682,39.308533,-119.918159,2783279,0,9
71847,39.308533,-119.918159,2783276,0,9
72062,39.308533,-119.918159,2783252,0,9
72276,39.308533,-119.918159,2783231,0,9
72491,39.308533,-119.918159,2783206,0,9
72656,39.308533,-119.918159,2783163,0,9
72871,39.308533,-119.918159,2783123,0,9
73086,39.308533,-119.918159,2783111,0,9
73251,39.308533,-119.918159,2783075,0,9
73466,39.308533,-119.918159,2783057,1,9
73685,39.308533,-119.918159,2783036,1,9
73850,39.308533,-119.918159,2782984,1,9
74065,39.308533,-119.918159,2782926,1,9
74280,39.308533,-119.918159,2782868,1,9
74445,39.308533,-119.918159,2782804,1,9
74660,39.308533,-119.918159,2782780,1,9
74875,39.308533,-119.918159,2782716,1,9
75040,39.308533,-119.918159,2782653,1,9
75254,39.308533,-119.918159,2782568,1,9
75469,39.308533,-119.918159,2782541,1,9
75685,39.308533,-119.918159,2782482,1,9
75849,39.308533,-119.918159,2782419,1,9
76064,39.308533,-119.918159,2782399,1,9
76282,39.308533,-119.918159,2782321,1,9
76446,39.308533,-119.918159,2782318,1,9
76662,39.308533,-119.918159,2782299,1,9
76876,39.308533,-119.918159,2782243,1,9
77042,39.308533,-119.918159,2782282,0,9
77257,39.308533,-119.918159,2782286,0,9
77473,39.308533,-119.918159,2782291,0,9
77689,39.308533,-119.918159,2782377,0,9
77854,39.308533,-119.918159,2782455,0,9
78070,39.308533,-119.918159,2782421,1,8
78285,39.308533,-119.918159,2782370,1,9
78450,39.308533,-119.918159,2782317,1,9
78669,39.308533,-119.918159,2782282,1,9
78884,39.308533,-119.918159,2782252,1,9
79050,39.308533,-119.918159,2782205,1,9
79263,39.308533,-119.918159,2782172,1,9
79479,39.308533,-119.918159,2782133,1,9
79645,39.308533,-119.918159,2782134,1,9
79859,39.308533,-119.918159,2782081,1,9
80074,39.308533,-119.918159,2782073,0,9
80290,39.308533,-119.918159,2782051,0,9
80455,39.308533,-119.918159,2782086,0,9
80669,39.308533,-119.918159,2782096,0,9
80884,39.308533,-119.918159,2782093,0,9
81051,39.308533,-119.918159,2782050,0,9
81269,39.308533,-119.918159,2782058,0,9
81490,39.308533,-119.918159,2782017,0,9
81657,39.308533,-119.918159,2782019,0,9
81872,39.308533,-119.918159,2782054,0,9
82086,39.308533,-119.918159,2782093,0,9
82251,39.308533,-119.918159,2782107,0,9
82466,39.308533,-119.918159,2782169,0,9
82680,39.308529,-119.918159,2782186,0,9
82845,39.308529,-119.918159,2782273,0,9
83062,39.308529,-119.918159,2782284,1,9
83275,39.308529,-119.918159,2782320,1,9
83440,39.308529,-119.918159,2782339,0,9
83659,39.308529,-119.918159,2782360,0,9
83874,39.308529,-119.918159,2782435,0,9
84089,39.308529,-119.918159,2782448,0,9
84254,39.308529,-119.918159,2782480,0,9
84469,39.308529,-119.918159,2782509,0,9
84684,39.308529,-119.918159,2782531,0,9
84849,39.308529,-119.918159,2782532,0,9
85064,39.308529,-119.918159,2782517,0,9
85280,39.308529,-119.918159,2782532,0,9
85445,39.308529,-119.918159,2782543,0,9
85659,39.308529,-119.918159,2782555,0,9
85874,39.308529,-119.918159,2782582,0,9
86040,39.308529,-119.918159,2782604,0,9
86258,39.308529,-119.918159,2782508,0,12
86473,39.308529,-119.918159,2782399,0,12
86689,39.308529,-119.918159,2781606,0,12
87854,39.308529,-119.918159,2781484,0,12
88069,39.308529,-119.918159,2781378,0,12
88283,39.308529,-119.918167,2781311,0,12
88449,39.308529,-119.918167,2781246,0,12
88664,39.308529,-119.918167,2781192,0,12
88879,39.308529,-119.918167,2781134,0,12
89093,39.308529,-119.918167,2781076,0,12
89259,39.308529,-119.918167,2781031,1,12
89474,39.308529,-119.918167,2780979,1,12
89695,39.308529,-119.918167,2780931,1,12
89859,39.308529,-119.918167,2780891,1,12
90073,39.308529,-119.918167,2780869,1,12
90289,39.308529,-119.918167,2780837,1,12
90454,39.308529,-119.918167,2780807,1,12
90669,39.308529,-119.918167,2780786,1,12
90885,39.308529,-119.918167,2780752,1,12
91052,39.308529,-119.918167,2780726,1,12
91266,39.308529,-119.918167,2780698,1,12
91481,39.308529,-119.918159,2780678,1,12
91645,39.308529,-119.918159,2780657,1,12
91859,39.308529,-119.918159,2780657,1,12
92077,39.308529,-119.918159,2780629,1,12
92293,39.308529,-119.918159,2780634,1,12
92458,39.308529,-119.918159,2780625,1,12
92675,39.308529,-119.918159,2780629,1,12
92892,39.308529,-119.918159,2780636,1,12
93059,39.308529,-119.918159,2780661,1,12
93275,39.308529,-119.918159,2780655,1,12
93490,39.308529,-119.918159,2780677,1,12
93654,39.308529,-119.918159,2780702,1,12
93870,39.308529,-119.918159,2780701,1,12
94084,39.308529,-119.918159,2780717,1,11
94250,39.308529,-119.918159,2780723,1,11
94468,39.308529,-119.918159,2780744,1,11
94683,39.308529,-119.918159,2780749,1,11
94849,39.308529,-119.918159,2780787,1,11
95064,39.308529,-119.918159,2780816,1,12
95279,39.308529,-119.918159,2780853,1,12
95494,39.308529,-119.918159,2780901,1,12
95659,39.308529,-119.918159,2780926,1,12
95874,39.308529,-119.918159,2780975,1,12
96090,39.308529,-119.918159,2780992,1,12
96254,39.308529,-119.918159,2781033,1,12
96470,39.308529,-119.918159,2781052,1,12
96684,39.308529,-119.918159,2781054,1,12
96850,39.308529,-119.918159,2781076,0,12
97070,39.308529,-119.918159,2781093,0,12
97284,39.308529,-119.918159,2781116,0,12
97449,39.308529,-119.918159,2781122,0,12
97664,39.308529,-119.918159,2781137,0,12
97879,39.308529,-119.918159,2781159,0,12
98094,39.308529,-119.918159,2781174,0,12
98259,39.308529,-119.918159,2781176,0,12
98474,39.308529,-119.918159,2781188,1,12
98689,39.308529,-119.918159,2781190,1,12
98854,39.308529,-119.918159,2781140,1,12
100072,39.308529,-119.918159,2781136,1,12
100289,39.308529,-119.918159,2781136,1,12
100459,39.308529,-119.918159,2781136,1,12
100675,39.308529,-119.918159,2781144,1,12
100891,39.308529,-119.918159,2781146,1,12
101057,39.308529,-119.918159,2781146,1,12
101274,39.308529,-119.918159,2781127,1,12
101489,39.308529,-119.918159,2781154,1,12
101655,39.308529,-119.918144,2781155,1,12
101870,39.308529,-119.918144,2781156,1,12
102084,39.308529,-119.918144,2781174,1,12
102251,39.308529,-119.918144,2781172,1,12
102465,39.308529,-119.918144,2781205,0,12
102680,39.308529,-119.918144,2781191,0,12
102849,39.308529,-119.918144,2781191,0,12
103064,39.308529,-119.918144,2781216,1,12
103278,39.308529,-119.918144,2781208,1,12
103450,39.308529,-119.918144,2781222,0,12
103665,39.308529,-119.918144,2781220,0,12
103879,39.308529,-119.918144,2781240,0,12
104043,39.308529,-119.918144,2781245,0,12
104257,39.308529,-119.918144,2781259,0,12
104472,39.308529,-119.918144,2781279,0,12
104689,39.308529,-119.918144,2781277,0,12
104853,39.308529,-119.918144,2781272,1,12
105068,39.308529,-119.918144,2781271,1,12
105288,39.308529,-119.918144,2781273,1,12
105453,39.308529,-119.918144,2781273,1,12
105668,39.308529,-119.918144,2781271,1,12
105883,39.308529,-119.918144,2781259,1,12
106047,39.308529,-119.918144,2781244,1,12
106263,39.308529,-119.918144,2781225,1,12
